 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.16100E+01  0.58169E+00  0.58169E+00
  0.16140E+01  0.58271E+00  0.58271E+00
  0.16180E+01  0.58376E+00  0.58376E+00
  0.16220E+01  0.58485E+00  0.58485E+00
  0.16260E+01  0.58596E+00  0.58596E+00
  0.16300E+01  0.58711E+00  0.58711E+00
  0.16340E+01  0.58828E+00  0.58828E+00
  0.16380E+01  0.58948E+00  0.58948E+00
  0.16420E+01  0.59071E+00  0.59071E+00
  0.16460E+01  0.59197E+00  0.59197E+00
  0.16500E+01  0.59326E+00  0.59326E+00
  0.16540E+01  0.59457E+00  0.59457E+00
  0.16580E+01  0.59590E+00  0.59590E+00
  0.16620E+01  0.59726E+00  0.59726E+00
  0.16660E+01  0.59865E+00  0.59865E+00
  0.16700E+01  0.60005E+00  0.60005E+00
  0.16740E+01  0.60149E+00  0.60149E+00
  0.16780E+01  0.60294E+00  0.60294E+00
  0.16820E+01  0.60441E+00  0.60441E+00
  0.16860E+01  0.60591E+00  0.60591E+00
  0.16900E+01  0.60742E+00  0.60742E+00
  0.16940E+01  0.60896E+00  0.60896E+00
  0.16980E+01  0.61051E+00  0.61051E+00
  0.17020E+01  0.61208E+00  0.61208E+00
  0.17060E+01  0.61367E+00  0.61367E+00
  0.17100E+01  0.61528E+00  0.61528E+00
  0.17140E+01  0.61690E+00  0.61690E+00
  0.17180E+01  0.61854E+00  0.61854E+00
  0.17220E+01  0.62020E+00  0.62020E+00
  0.17260E+01  0.62187E+00  0.62187E+00
  0.17300E+01  0.62355E+00  0.62355E+00
  0.17340E+01  0.62525E+00  0.62525E+00
  0.17380E+01  0.62696E+00  0.62696E+00
  0.17420E+01  0.62868E+00  0.62868E+00
  0.17460E+01  0.63042E+00  0.63042E+00
  0.17500E+01  0.63217E+00  0.63217E+00
  0.17540E+01  0.63393E+00  0.63393E+00
  0.17580E+01  0.63569E+00  0.63569E+00
  0.17620E+01  0.63747E+00  0.63747E+00
  0.17660E+01  0.63926E+00  0.63926E+00
  0.17700E+01  0.64106E+00  0.64106E+00
  0.17740E+01  0.64287E+00  0.64287E+00
  0.17780E+01  0.64468E+00  0.64468E+00
  0.17820E+01  0.64650E+00  0.64650E+00
  0.17860E+01  0.64833E+00  0.64833E+00
  0.17900E+01  0.65017E+00  0.65017E+00
  0.17940E+01  0.65201E+00  0.65201E+00
  0.17980E+01  0.65386E+00  0.65386E+00
  0.18020E+01  0.65571E+00  0.65571E+00
  0.18060E+01  0.65757E+00  0.65757E+00
  0.18100E+01  0.65943E+00  0.65943E+00
  0.18140E+01  0.66130E+00  0.66130E+00
  0.18180E+01  0.66317E+00  0.66317E+00
  0.18220E+01  0.66505E+00  0.66505E+00
  0.18260E+01  0.66693E+00  0.66693E+00
  0.18300E+01  0.66881E+00  0.66881E+00
  0.18340E+01  0.67069E+00  0.67069E+00
  0.18380E+01  0.67258E+00  0.67258E+00
  0.18420E+01  0.67447E+00  0.67447E+00
  0.18460E+01  0.67635E+00  0.67635E+00
  0.18500E+01  0.67824E+00  0.67824E+00
  0.18540E+01  0.68014E+00  0.68014E+00
  0.18580E+01  0.68203E+00  0.68203E+00
  0.18620E+01  0.68392E+00  0.68392E+00
  0.18660E+01  0.68581E+00  0.68581E+00
  0.18700E+01  0.68770E+00  0.68770E+00
  0.18740E+01  0.68959E+00  0.68959E+00
  0.18780E+01  0.69148E+00  0.69148E+00
  0.18820E+01  0.69337E+00  0.69337E+00
  0.18860E+01  0.69526E+00  0.69526E+00
  0.18900E+01  0.69714E+00  0.69714E+00
  0.18940E+01  0.69902E+00  0.69902E+00
  0.18980E+01  0.70090E+00  0.70090E+00
  0.19020E+01  0.70278E+00  0.70278E+00
  0.19060E+01  0.70465E+00  0.70465E+00
  0.19100E+01  0.70653E+00  0.70653E+00
  0.19140E+01  0.70839E+00  0.70839E+00
  0.19180E+01  0.71026E+00  0.71026E+00
  0.19220E+01  0.71212E+00  0.71212E+00
  0.19260E+01  0.71398E+00  0.71398E+00
  0.19300E+01  0.71583E+00  0.71583E+00
  0.19340E+01  0.71768E+00  0.71768E+00
  0.19380E+01  0.71952E+00  0.71952E+00
  0.19420E+01  0.72136E+00  0.72136E+00
  0.19460E+01  0.72319E+00  0.72319E+00
  0.19500E+01  0.72502E+00  0.72502E+00
  0.19540E+01  0.72685E+00  0.72685E+00
  0.19580E+01  0.72866E+00  0.72866E+00
  0.19620E+01  0.73048E+00  0.73048E+00
  0.19660E+01  0.73228E+00  0.73228E+00
  0.19700E+01  0.73408E+00  0.73408E+00
  0.19740E+01  0.73587E+00  0.73587E+00
  0.19780E+01  0.73766E+00  0.73766E+00
  0.19820E+01  0.73944E+00  0.73944E+00
  0.19860E+01  0.74121E+00  0.74121E+00
  0.19900E+01  0.74298E+00  0.74298E+00
  0.19940E+01  0.74474E+00  0.74474E+00
  0.19980E+01  0.74648E+00  0.74648E+00
