X,                                          T,                                              var_rho,
1.490148995071649551e-02 9.913799166679382324e-01 9.659635424613952637e-01
1.500150002539157867e-02 9.913218617439270020e-01 9.657372832298278809e-01
1.510151010006666183e-02 9.912639260292053223e-01 9.655115604400634766e-01
1.520152017474174500e-02 9.912058711051940918e-01 9.652853608131408691e-01
1.530153024941682816e-02 9.911479353904724121e-01 9.650596976280212402e-01
1.540154032409191132e-02 9.910899400711059570e-01 9.648338556289672852e-01
1.550155039876699448e-02 9.910318255424499512e-01 9.646075963973999023e-01
1.560156047344207764e-02 9.909740090370178223e-01 9.643825292587280273e-01
1.570156961679458618e-02 9.909159541130065918e-01 9.641565680503845215e-01
1.580158062279224396e-02 9.908578395843505859e-01 9.639303684234619141e-01
1.590158976614475250e-02 9.907998442649841309e-01 9.637047052383422852e-01
1.600160077214241028e-02 9.907417297363281250e-01 9.634786248207092285e-01
1.610160991549491882e-02 9.906837344169616699e-01 9.632530808448791504e-01
1.620162092149257660e-02 9.906256198883056641e-01 9.630270600318908691e-01
1.630163006484508514e-02 9.905675053596496582e-01 9.628010988235473633e-01
1.640164107084274292e-02 9.905095696449279785e-01 9.625758528709411621e-01
1.650165021419525146e-02 9.904514551162719727e-01 9.623500108718872070e-01
1.660165935754776001e-02 9.903933405876159668e-01 9.621241688728332520e-01
1.670167036354541779e-02 9.903354048728942871e-01 9.618990421295166016e-01
1.680167950689792633e-02 9.902772307395935059e-01 9.616730213165283203e-01
1.690169051289558411e-02 9.902191162109375000e-01 9.614472985267639160e-01
1.700169965624809265e-02 9.901609420776367188e-01 9.612213969230651855e-01
1.710171066224575043e-02 9.901029467582702637e-01 9.609962105751037598e-01
1.720171980559825897e-02 9.900448918342590332e-01 9.607708454132080078e-01
1.730173081159591675e-02 9.899867177009582520e-01 9.605450630187988281e-01
1.740173995494842529e-02 9.899284839630126953e-01 9.603190422058105469e-01
1.750175096094608307e-02 9.898703694343566895e-01 9.600935578346252441e-01
1.760176010429859161e-02 9.898122549057006836e-01 9.598681330680847168e-01
1.770176924765110016e-02 9.897541403770446777e-01 9.596427083015441895e-01
1.780178025364875793e-02 9.896959662437438965e-01 9.594171643257141113e-01
1.790178939700126648e-02 9.896379113197326660e-01 9.591920375823974609e-01
1.800180040299892426e-02 9.895796179771423340e-01 9.589660763740539551e-01
1.810180954635143280e-02 9.895215630531311035e-01 9.587410688400268555e-01
1.820182055234909058e-02 9.894633889198303223e-01 9.585155844688415527e-01
1.830182969570159912e-02 9.894052147865295410e-01 9.582902193069458008e-01
1.840184070169925690e-02 9.893470406532287598e-01 9.580648541450500488e-01
1.850184984505176544e-02 9.892888665199279785e-01 9.578395485877990723e-01
1.860186085104942322e-02 9.892305731773376465e-01 9.576137661933898926e-01
1.870186999440193176e-02 9.891724586486816406e-01 9.573887586593627930e-01
1.880188100039958954e-02 9.891141653060913086e-01 9.571630954742431641e-01
1.890189014375209808e-02 9.890560507774353027e-01 9.569382071495056152e-01
1.900189928710460663e-02 9.889978766441345215e-01 9.567130804061889648e-01
1.910191029310226440e-02 9.889394640922546387e-01 9.564870595932006836e-01
1.920191943645477295e-02 9.888813495635986328e-01 9.562622308731079102e-01
1.930193044245243073e-02 9.888231754302978516e-01 9.560372829437255859e-01
1.940193958580493927e-02 9.887648820877075195e-01 9.558118581771850586e-01
1.950195059180259705e-02 9.887066483497619629e-01 9.555866718292236328e-01
1.960195973515510559e-02 9.886484742164611816e-01 9.553617835044860840e-01
1.970197074115276337e-02 9.885901212692260742e-01 9.551362395286560059e-01
1.980197988450527191e-02 9.885318875312805176e-01 9.549112319946289062e-01
1.990199089050292969e-02 9.884735941886901855e-01 9.546859860420227051e-01
2.000200003385543823e-02 9.884153008460998535e-01 9.544608592987060547e-01
2.010201103985309601e-02 9.883570075035095215e-01 9.542356729507446289e-01
2.020202018320560455e-02 9.882988333702087402e-01 9.540110230445861816e-01
2.030202932655811310e-02 9.882404208183288574e-01 9.537855386734008789e-01
2.040204033255577087e-02 9.881821870803833008e-01 9.535607099533081055e-01
2.050204947590827942e-02 9.881238341331481934e-01 9.533355236053466797e-01
2.060206048190593719e-02 9.880655407905578613e-01 9.531105756759643555e-01
2.070206962525844574e-02 9.880072474479675293e-01 9.528856873512268066e-01
2.080208063125610352e-02 9.879489541053771973e-01 9.526607990264892578e-01
2.090208977460861206e-02 9.878906607627868652e-01 9.524359703063964844e-01
2.100210078060626984e-02 9.878322482109069824e-01 9.522107243537902832e-01
2.110210992395877838e-02 9.877740144729614258e-01 9.519861936569213867e-01
2.120212092995643616e-02 9.877156615257263184e-01 9.517613053321838379e-01
2.130213007330894470e-02 9.876573085784912109e-01 9.515363574028015137e-01
2.140214107930660248e-02 9.875988364219665527e-01 9.513110518455505371e-01
