 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.13675E+00  0.26303E+00  0.25847E+00
  0.13725E+00  0.26292E+00  0.25835E+00
  0.13775E+00  0.26281E+00  0.25823E+00
  0.13825E+00  0.26269E+00  0.25812E+00
  0.13875E+00  0.26258E+00  0.25800E+00
  0.13925E+00  0.26246E+00  0.25788E+00
  0.13975E+00  0.26235E+00  0.25776E+00
  0.14025E+00  0.26223E+00  0.25764E+00
  0.14075E+00  0.26211E+00  0.25752E+00
  0.14125E+00  0.26200E+00  0.25740E+00
  0.14175E+00  0.26188E+00  0.25727E+00
  0.14225E+00  0.26176E+00  0.25715E+00
  0.14275E+00  0.26164E+00  0.25703E+00
  0.14325E+00  0.26152E+00  0.25690E+00
  0.14375E+00  0.26140E+00  0.25678E+00
  0.14425E+00  0.26128E+00  0.25665E+00
  0.14475E+00  0.26116E+00  0.25653E+00
  0.14525E+00  0.26103E+00  0.25640E+00
  0.14575E+00  0.26091E+00  0.25627E+00
  0.14625E+00  0.26079E+00  0.25615E+00
  0.14675E+00  0.26066E+00  0.25602E+00
  0.14725E+00  0.26054E+00  0.25589E+00
  0.14775E+00  0.26041E+00  0.25576E+00
  0.14825E+00  0.26029E+00  0.25563E+00
  0.14875E+00  0.26016E+00  0.25550E+00
  0.14925E+00  0.26003E+00  0.25536E+00
  0.14975E+00  0.25991E+00  0.25523E+00
  0.15025E+00  0.25978E+00  0.25510E+00
  0.15075E+00  0.25965E+00  0.25496E+00
  0.15125E+00  0.25952E+00  0.25483E+00
  0.15175E+00  0.25939E+00  0.25469E+00
  0.15225E+00  0.25925E+00  0.25456E+00
  0.15275E+00  0.25912E+00  0.25442E+00
  0.15325E+00  0.25899E+00  0.25428E+00
  0.15375E+00  0.25886E+00  0.25415E+00
  0.15425E+00  0.25872E+00  0.25401E+00
  0.15475E+00  0.25859E+00  0.25387E+00
  0.15525E+00  0.25845E+00  0.25373E+00
