 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.91000E+00  0.82134E+00  0.82146E+00
  0.91400E+00  0.81837E+00  0.81850E+00
  0.91800E+00  0.81540E+00  0.81553E+00
  0.92200E+00  0.81242E+00  0.81255E+00
  0.92600E+00  0.80942E+00  0.80957E+00
  0.93000E+00  0.80642E+00  0.80657E+00
  0.93400E+00  0.80340E+00  0.80356E+00
  0.93800E+00  0.80038E+00  0.80054E+00
  0.94200E+00  0.79735E+00  0.79752E+00
  0.94600E+00  0.79431E+00  0.79449E+00
  0.95000E+00  0.79126E+00  0.79145E+00
  0.95400E+00  0.78821E+00  0.78840E+00
  0.95800E+00  0.78515E+00  0.78535E+00
  0.96200E+00  0.78208E+00  0.78229E+00
  0.96600E+00  0.77901E+00  0.77923E+00
  0.97000E+00  0.77594E+00  0.77616E+00
  0.97400E+00  0.77285E+00  0.77308E+00
  0.97800E+00  0.76977E+00  0.77001E+00
  0.98200E+00  0.76668E+00  0.76692E+00
  0.98600E+00  0.76359E+00  0.76384E+00
  0.99000E+00  0.76050E+00  0.76075E+00
  0.99400E+00  0.75740E+00  0.75767E+00
  0.99800E+00  0.75430E+00  0.75457E+00
  0.10020E+01  0.75120E+00  0.75148E+00
  0.10060E+01  0.74810E+00  0.74839E+00
  0.10100E+01  0.74500E+00  0.74530E+00
  0.10140E+01  0.74190E+00  0.74221E+00
  0.10180E+01  0.73880E+00  0.73912E+00
  0.10220E+01  0.73570E+00  0.73603E+00
  0.10260E+01  0.73260E+00  0.73294E+00
  0.10300E+01  0.72951E+00  0.72985E+00
  0.10340E+01  0.72642E+00  0.72677E+00
  0.10380E+01  0.72333E+00  0.72369E+00
  0.10420E+01  0.72024E+00  0.72061E+00
  0.10460E+01  0.71716E+00  0.71754E+00
  0.10500E+01  0.71409E+00  0.71447E+00
  0.10540E+01  0.71101E+00  0.71141E+00
  0.10580E+01  0.70795E+00  0.70835E+00
  0.10620E+01  0.70489E+00  0.70530E+00
  0.10660E+01  0.70183E+00  0.70225E+00
  0.10700E+01  0.69879E+00  0.69921E+00
  0.10740E+01  0.69575E+00  0.69618E+00
  0.10780E+01  0.69271E+00  0.69316E+00
  0.10820E+01  0.68969E+00  0.69015E+00
  0.10860E+01  0.68668E+00  0.68714E+00
  0.10900E+01  0.68367E+00  0.68415E+00
  0.10940E+01  0.68068E+00  0.68116E+00
  0.10980E+01  0.67769E+00  0.67818E+00
  0.11020E+01  0.67472E+00  0.67522E+00
  0.11060E+01  0.67175E+00  0.67227E+00
  0.11100E+01  0.66880E+00  0.66932E+00
  0.11140E+01  0.66586E+00  0.66639E+00
  0.11180E+01  0.66294E+00  0.66348E+00
  0.11220E+01  0.66002E+00  0.66057E+00
  0.11260E+01  0.65713E+00  0.65768E+00
  0.11300E+01  0.65424E+00  0.65480E+00
