 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.99400E+00  0.78169E+00  0.78169E+00
  0.99800E+00  0.77915E+00  0.77915E+00
  0.10020E+01  0.77659E+00  0.77659E+00
  0.10060E+01  0.77403E+00  0.77403E+00
  0.10100E+01  0.77146E+00  0.77146E+00
  0.10140E+01  0.76889E+00  0.76889E+00
  0.10180E+01  0.76631E+00  0.76631E+00
  0.10220E+01  0.76373E+00  0.76373E+00
  0.10260E+01  0.76114E+00  0.76114E+00
  0.10300E+01  0.75855E+00  0.75855E+00
  0.10340E+01  0.75595E+00  0.75595E+00
  0.10380E+01  0.75335E+00  0.75335E+00
  0.10420E+01  0.75075E+00  0.75075E+00
  0.10460E+01  0.74814E+00  0.74814E+00
  0.10500E+01  0.74554E+00  0.74554E+00
  0.10540E+01  0.74293E+00  0.74293E+00
  0.10580E+01  0.74031E+00  0.74031E+00
  0.10620E+01  0.73770E+00  0.73770E+00
  0.10660E+01  0.73508E+00  0.73508E+00
  0.10700E+01  0.73247E+00  0.73247E+00
  0.10740E+01  0.72985E+00  0.72985E+00
  0.10780E+01  0.72723E+00  0.72723E+00
  0.10820E+01  0.72461E+00  0.72461E+00
  0.10860E+01  0.72200E+00  0.72200E+00
  0.10900E+01  0.71938E+00  0.71938E+00
  0.10940E+01  0.71677E+00  0.71677E+00
  0.10980E+01  0.71415E+00  0.71415E+00
  0.11020E+01  0.71154E+00  0.71154E+00
  0.11060E+01  0.70894E+00  0.70894E+00
  0.11100E+01  0.70633E+00  0.70633E+00
  0.11140E+01  0.70373E+00  0.70373E+00
  0.11180E+01  0.70113E+00  0.70113E+00
  0.11220E+01  0.69853E+00  0.69853E+00
  0.11260E+01  0.69594E+00  0.69594E+00
  0.11300E+01  0.69336E+00  0.69336E+00
  0.11340E+01  0.69078E+00  0.69078E+00
  0.11380E+01  0.68820E+00  0.68820E+00
  0.11420E+01  0.68563E+00  0.68563E+00
  0.11460E+01  0.68307E+00  0.68307E+00
  0.11500E+01  0.68051E+00  0.68051E+00
  0.11540E+01  0.67796E+00  0.67796E+00
  0.11580E+01  0.67542E+00  0.67542E+00
  0.11620E+01  0.67289E+00  0.67289E+00
  0.11660E+01  0.67036E+00  0.67036E+00
  0.11700E+01  0.66785E+00  0.66785E+00
  0.11740E+01  0.66534E+00  0.66534E+00
  0.11780E+01  0.66284E+00  0.66284E+00
  0.11820E+01  0.66036E+00  0.66036E+00
  0.11860E+01  0.65788E+00  0.65788E+00
  0.11900E+01  0.65542E+00  0.65542E+00
  0.11940E+01  0.65296E+00  0.65296E+00
  0.11980E+01  0.65052E+00  0.65052E+00
  0.12020E+01  0.64809E+00  0.64809E+00
  0.12060E+01  0.64568E+00  0.64568E+00
  0.12100E+01  0.64328E+00  0.64328E+00
  0.12140E+01  0.64089E+00  0.64089E+00
  0.12180E+01  0.63852E+00  0.63852E+00
  0.12220E+01  0.63616E+00  0.63616E+00
  0.12260E+01  0.63381E+00  0.63381E+00
  0.12300E+01  0.63149E+00  0.63149E+00
  0.12340E+01  0.62918E+00  0.62918E+00
  0.12380E+01  0.62688E+00  0.62688E+00
  0.12420E+01  0.62461E+00  0.62461E+00
  0.12460E+01  0.62235E+00  0.62235E+00
  0.12500E+01  0.62011E+00  0.62011E+00
  0.12540E+01  0.61789E+00  0.61789E+00
  0.12580E+01  0.61569E+00  0.61569E+00
  0.12620E+01  0.61351E+00  0.61351E+00
  0.12660E+01  0.61135E+00  0.61135E+00
  0.12700E+01  0.60921E+00  0.60921E+00
  0.12740E+01  0.60709E+00  0.60709E+00
  0.12780E+01  0.60500E+00  0.60500E+00
  0.12820E+01  0.60293E+00  0.60293E+00
  0.12860E+01  0.60088E+00  0.60088E+00
  0.12900E+01  0.59886E+00  0.59886E+00
  0.12940E+01  0.59686E+00  0.59686E+00
  0.12980E+01  0.59488E+00  0.59488E+00
  0.13020E+01  0.59293E+00  0.59293E+00
  0.13060E+01  0.59101E+00  0.59101E+00
  0.13100E+01  0.58912E+00  0.58912E+00
  0.13140E+01  0.58725E+00  0.58725E+00
  0.13180E+01  0.58541E+00  0.58541E+00
  0.13220E+01  0.58360E+00  0.58360E+00
  0.13260E+01  0.58182E+00  0.58182E+00
  0.13300E+01  0.58007E+00  0.58007E+00
  0.13340E+01  0.57835E+00  0.57835E+00
  0.13380E+01  0.57666E+00  0.57666E+00
  0.13420E+01  0.57500E+00  0.57500E+00
  0.13460E+01  0.57337E+00  0.57337E+00
  0.13500E+01  0.57178E+00  0.57178E+00
  0.13540E+01  0.57022E+00  0.57022E+00
  0.13580E+01  0.56869E+00  0.56869E+00
  0.13620E+01  0.56720E+00  0.56720E+00
  0.13660E+01  0.56574E+00  0.56574E+00
  0.13700E+01  0.56432E+00  0.56432E+00
  0.13740E+01  0.56294E+00  0.56294E+00
  0.13780E+01  0.56159E+00  0.56159E+00
  0.13820E+01  0.56028E+00  0.56028E+00
  0.13860E+01  0.55900E+00  0.55900E+00
  0.13900E+01  0.55777E+00  0.55777E+00
  0.13940E+01  0.55657E+00  0.55657E+00
  0.13980E+01  0.55541E+00  0.55541E+00
  0.14020E+01  0.55430E+00  0.55430E+00
  0.14060E+01  0.55322E+00  0.55322E+00
  0.14100E+01  0.55218E+00  0.55218E+00
  0.14140E+01  0.55119E+00  0.55119E+00
  0.14180E+01  0.55023E+00  0.55023E+00
  0.14220E+01  0.54932E+00  0.54932E+00
  0.14260E+01  0.54845E+00  0.54845E+00
  0.14300E+01  0.54763E+00  0.54763E+00
  0.14340E+01  0.54684E+00  0.54684E+00
  0.14380E+01  0.54611E+00  0.54611E+00
  0.14420E+01  0.54541E+00  0.54541E+00
  0.14460E+01  0.54476E+00  0.54476E+00
  0.14500E+01  0.54415E+00  0.54415E+00
  0.14540E+01  0.54359E+00  0.54359E+00
  0.14580E+01  0.54307E+00  0.54307E+00
  0.14620E+01  0.54260E+00  0.54260E+00
  0.14660E+01  0.54217E+00  0.54217E+00
  0.14700E+01  0.54179E+00  0.54179E+00
  0.14740E+01  0.54146E+00  0.54146E+00
  0.14780E+01  0.54117E+00  0.54117E+00
  0.14820E+01  0.54092E+00  0.54092E+00
  0.14860E+01  0.54073E+00  0.54073E+00
  0.14900E+01  0.54058E+00  0.54058E+00
  0.14940E+01  0.54047E+00  0.54047E+00
  0.14980E+01  0.54041E+00  0.54041E+00
